Fences, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; fences_bumbershoot2010.htm; l; https://farm5.static.flickr.com/4131/4980382526_7b7da401d8_m.jpg; fences_bumbershoot2010.jpg; 1744
Motion City Soundtrack, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; motioncitysoundtrack_bumbershoot2010.htm; l; https://farm5.static.flickr.com/4132/4999998233_77eb62c244_m.jpg; motioncitysoundtrack_bumbershoot2010.jpg; 1745
Jay Electronica, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; jayelectronica_bumbershoot2010.htm; l; https://farm5.static.flickr.com/4154/4980382428_8da29c9a48_m.jpg; jayelectronica_bumbershoot2010.jpg; 1746
Surfer Blood, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; surferblood_bumbershoot2010.htm; l; https://farm5.static.flickr.com/4113/4980381246_58702d6d16_m.jpg; surferblood_bumbershoot2010.jpg; 1747
Slender Means, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; slendermeans_bumbershoot2010.htm; p; https://farm5.static.flickr.com/4087/4979773111_86f6e1a301_m.jpg; slendermeans_bumbershoot2010.jpg; 1748
The Bounding Souls, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; theboundingsouls_bumbershoot2010.htm; p; https://farm5.static.flickr.com/4129/4979771001_bc099ed19d_m.jpg; theboundingsouls_bumbershoot2010.jpg; 1749
Nick Thune, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; nickthune_bumbershoot2010.htm; l; https://farm5.static.flickr.com/4126/4979770349_f6927a20f8_m.jpg; nickthune_bumbershoot2010.jpg; 1750
David Bazan, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; davidbazan_bumbershoot2010.htm; l; https://farm5.static.flickr.com/4113/4980377632_df1dbceb3a_m.jpg; davidbazan_bumbershoot2010.jpg; 1751
The Redwood Plan, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; theredwoodplan_bumbershoot2010.htm; p; https://farm5.static.flickr.com/4128/4980376254_a3e0698f65_m.jpg; theredwoodplan_bumbershoot2010.jpg; 1752
WTF, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 5, 2010; wtf_bumbershoot2010.htm; l; https://farm5.static.flickr.com/4083/4980375822_0d667c51c8_m.jpg; wtf_bumbershoot2010.jpg; 1753
